k,inertia,silhouette
2,27319.158363938186,0.48398543347503487
3,21900.940259557305,0.459948921446754
4,18090.68308740578,0.36980855348351294
5,16301.427510870963,0.38123001793599853
6,15107.89725084808,0.37370032579422197
7,14149.762297284862,0.37328400422706426
8,13444.511523494286,0.3229810542706765
9,12873.567908279185,0.31364038430763097
10,12184.149799321847,0.31533735385752787
