c207,c208,c366,c377,c303,c310,c312,c317,c338,INGTRABW,c333,c330,c335,c375_1,c375_2,c375_3,c375_4,c375_5,c375_6,cluster,perfil
2,30,6,4,1,3,3,1,2,563,1,1,1,2,2,2,2,2,2,0,Jóvenes informales
2,41,10,6,2,2,2,1, ,2700,2,1,2,2,2,2,2,2,2,1,Adultos vulnerables
2,37,6,7,1,2,2,1, ,1110,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,15,5,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,17,5,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,30,6,7,1,3,1,5,4,2050,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,40,6,7,1,2,3,1, ,726,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,28,6,9,1,3,1,1,4,3542,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,68,11,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,57,5,6,2, , , , , , , , ,1,2,2,2,2,2,1,Adultos vulnerables
1,35,9,7,1,3,1,4,4,5625,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,25,8,7,1,3,1,2,4,1300,2,1,1,2,2,2,2,2,2,0,Jóvenes informales
1,48,11,7,1,2,2,1, ,2400,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,26,9,7,1,2,2,1, ,4610,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,72,3,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,55,11,7,1,3,1,3,4,2042,1,2,2,2,2,2,2,2,2,0,Jóvenes informales
2,20,10,7,1,3,3,1,3,1625,2,2,2,2,2,2,2,2,2,0,Jóvenes informales
2,82,5,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,17,5,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,16,5,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,67,5,1,1,3,3,1,1,1350,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,45,6,7,1,2,3,1, ,1054,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,28,9,7,1,3,1,5,4,1280,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,23,9,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,51,10,7,1,2,3,1, ,4130,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,94,6,6,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,69,11,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,53,6,7,1,6, ,1,2,346,1,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,20,6,7,1,3,1,5,4,1200,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,41,11,6,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,57,11,7,1,3,1,2,4,1130,2,2,2,2,2,2,2,2,2,0,Jóvenes informales
1,59,6,7,1,2,3,1, ,666,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,44,6,7,1,3,1,4,4,1130,1,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,71,11,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,73,12,7,2, , , , , , , , ,1,2,2,2,2,2,1,Adultos vulnerables
2,40,11,7,1,3,1,3,4,3393,1,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,72,11,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,75,6,1,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,54,6,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,27,11,7,1,3,1,1,4,1130,1,1,1,2,2,2,2,2,2,0,Jóvenes informales
2,38,6,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,57,6,7,1,2,2,1, ,2662,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,57,12,7,1,3, ,5,4,10026,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,43,6,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,43,12,7,1,3, ,5,4,9949,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,22,8,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,52,6,7,1,2,3,1, ,520,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,71,6,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,41,8,7,1,3,1,5,4,2501,1,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,45,5,7,1,3,3,1,2,650,1,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,58,4,7,1,2,3,1, ,1249,2,2,2,2,2,2,2,2,2,0,Jóvenes informales
2,18,6,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,21,10,6,1,4,3,1, , ,1,1, ,2,2,2,2,2,2,0,Jóvenes informales
2,77,4,1,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,19,10,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,63,4,1,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,72,11,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,16,5,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,16,5,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,30,9,7,1,3,1,5,4,2859,1,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,36,11,6,1,3,1,5,4,1582,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,84,6,7,2, , , , , , , , ,1,1,1,2,2,2,1,Adultos vulnerables
1,63,11,1,1,3,1,3,4,3750,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,57,12,7,1,3, ,5,4,3375,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,62,4,1,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,39,6,7,1,3,1,4,4,1189,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,23,6,7,1,3,3,1,2,520,1,2,1,2,2,2,2,2,2,0,Jóvenes informales
2,36,10,7,1,3,1,1,4,4125,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,44,6,1,1,2,3,1, ,2425,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,28,9,7,1,3, ,5,4,1350,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,21,9,1,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,44,5,7,1,2,3,1, ,185,1,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,41,4,7,1,3,3,1,2,1277,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,23,6,6,2, , , , , , , , ,1,2,2,2,2,2,1,Adultos vulnerables
2,45,6,1,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,62,6,7,1,3,1,4,4,2531,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,67,6,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,15,5,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,85,3,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,17,6,7,1,4,3,1, , ,2,1, ,2,2,2,2,2,2,0,Jóvenes informales
1,35,8,7,1,3,1,3,4,2113,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,22,6,7,1,3,1,1,2,1364,2,1,1,2,2,2,2,2,2,0,Jóvenes informales
2,19,8,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,21,6,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
